file_key,target,hemisphere,neuron,firing_rate,burst_index,cv,burst_durations,spike_power
neuron_047,GPi,L,BOR,79.4237850954682,3.85247722501182,0.5272727272727272,"(0.16999999999999993, 0.12199999999999989, 0.13449999999999995, 0.1253333333333331)","(-12.453717685592807, -15.999168165789953, -16.373080155621732, -15.865441030588483)"
neuron_048,GPi,L,BOR,49.374499855850715,2.9363473306721484,0.5666666666666667,"(0.16949999999999987, 0.15799999999999947, 0.13179999999999992, 0.160888888888889)","(-14.436155523758325, -14.931222250728204, -14.164039858995261, -12.75563260998659)"
neuron_049,GPi,L,BOR,66.1160468059948,2.8886750211950187,0.5202702702702703,"(0.118, 0.11799999999999855, 0.1484285714285715, 0.14299999999999952)","(-13.65503014248011, -16.128399514974973, -13.583689391378167, -9.334675234440864)"
neuron_050,GPi,L,BOR,57.77022749335247,2.2078304140599374,0.4881889763779528,"(0.18400000000000016, 0.20400000000000063, 0.2120000000000002, 0.13999999999999999)","(-13.747229989675114, -15.794322157214749, -11.074301950770973, -13.55652598342381)"
neuron_051,GPi,L,BOR,58.40563939558814,3.45072781663981,0.5878787878787879,"(0.22266666666666687, 0.24600000000000039, 0.23977777777777767, 0.1390476190476193)","(-13.836301027127291, -15.277904474796276, -8.171416472750334, -15.735262916804169)"
neuron_052,GPi,L,BOR,73.06576649642344,2.847279244673249,0.32919254658385094,"(0.0, 0.129, 0.16066666666666676, 0.14959999999999996)","(-16.982751732169163, -16.163721801201767, -13.82000913483119, -14.425637340598039)"
neuron_053,GPi,R,BOR,75.25307712924975,4.5147052364176,0.7379912663755459,"(0.2160000000000002, 0.2030000000000001, 0.1491111111111111, 0.18333333333333346)","(-13.346132151710048, -14.138260983487871, -13.102467453890625, -12.769672841237494)"
neuron_054,GPi,R,BOR,50.16992619156834,5.325100731711213,0.6122448979591837,"(0.25866666666666677, 0.4980000000000002, 0.13857142857142848, 0.14133333333333334)","(-9.405498082234395, -13.036534784053938, -13.770670849065516, -12.870349154469462)"
neuron_055,GPi,R,BOR,96.14887818235835,4.466423465128055,0.5813953488372093,"(0.27199999999999996, 0.19199999999999995, 0.15525, 0.14564705882352963)","(-12.442352745333771, -14.643448978577819, -14.351334240131933, -12.746973416735692)"
neuron_056,GPi,L,BOR,53.90332710617391,3.510614588315425,0.5692307692307692,"(0.30999999999999994, 0.16799999999999993, 0.12533333333333335, 0.17536000000000004)","(-13.516507701255518, -15.163197338035836, -12.54285676588356, -10.124574818281673)"
