file_key,target,hemisphere,neuron,firing_rate,burst_index,cv,burst_durations,spike_power,lfp_theta_power,lfp_alpha_power,lfp_lowbeta_power,lfp_highbeta_power
neuron_049,GPi,L,BOR,66.1160468059948,2.8886750211950187,0.5202702702702703,"(0.118, 0.11799999999999855, 0.1484285714285715, 0.14299999999999952)","(-13.65503014248011, -16.128399514974973, -13.583689391378167, -9.334675234440864)",9.768536379461645,15.988188590209138,14.077472130551174,-0.23426196478970626
neuron_050,GPi,L,BOR,57.77022749335247,2.2078304140599374,0.4881889763779528,"(0.18400000000000016, 0.20400000000000063, 0.2120000000000002, 0.13999999999999999)","(-13.747229989675114, -15.794322157214749, -11.074301950770973, -13.55652598342381)",5.6380069721479895,4.510574950267512,6.522488582555411,4.950828982748738
neuron_051,GPi,L,BOR,58.40563939558814,3.45072781663981,0.5878787878787879,"(0.22266666666666687, 0.24600000000000039, 0.23977777777777767, 0.1390476190476193)","(-13.836301027127291, -15.277904474796276, -8.171416472750334, -15.735262916804169)",14.669310471279108,14.204284061213365,17.039484630536585,14.601832841478515
neuron_052,GPi,L,BOR,73.06576649642344,2.847279244673249,0.32919254658385094,"(0.0, 0.129, 0.16066666666666676, 0.14959999999999996)","(-16.982751732169163, -16.163721801201767, -13.82000913483119, -14.425637340598039)",-16.113467492394292,-14.239643660838572,-2.9057812798350726,-2.2816856951047755
neuron_053,GPi,R,BOR,75.25307712924975,4.5147052364176,0.7379912663755459,"(0.2160000000000002, 0.2030000000000001, 0.1491111111111111, 0.18333333333333346)","(-13.346132151710048, -14.138260983487871, -13.102467453890625, -12.769672841237494)",-3.7029417108308396,-4.787068696437703,-1.1410663334109343,-1.1782739936878537
neuron_054,GPi,R,BOR,50.16992619156834,5.325100731711213,0.6122448979591837,"(0.25866666666666677, 0.4980000000000002, 0.13857142857142848, 0.14133333333333334)","(-9.405498082234395, -13.036534784053938, -13.770670849065516, -12.870349154469462)",-23.831040661217457,-15.832897761338423,-7.016014219156023,-4.420581887756394
neuron_055,GPi,R,BOR,96.14887818235835,4.466423465128055,0.5813953488372093,"(0.27199999999999996, 0.19199999999999995, 0.15525, 0.14564705882352963)","(-12.442352745333771, -14.643448978577819, -14.351334240131933, -12.746973416735692)",-2.8789436265007504,-5.891888724272639,-1.3389039972127845,-0.7401330274280794
neuron_056,GPi,L,BOR,53.90332710617391,3.510614588315425,0.5692307692307692,"(0.30999999999999994, 0.16799999999999993, 0.12533333333333335, 0.17536000000000004)","(-13.516507701255518, -15.163197338035836, -12.54285676588356, -10.124574818281673)",-4.457802792535067,-3.6524089579623658,-0.35638637529408923,0.04377063983941035
neuron_057,GPi,L,BOR,86.96112699925857,2.9079689786580456,0.5483870967741935,"(0.17999999999999972, 0.16399999999999992, 0.1363333333333335, 0.15763636363636377)","(-16.10875229549317, -15.414419530757238, -13.772918888943435, -15.126843374210356)",-22.263854101970573,-18.955682396490868,-9.8327332275646,-6.620108289711571
neuron_058,GPi,R,BOR,85.35284255448866,4.3016289517122885,0.6483516483516484,"(0.132, 0.0, 0.1579999999999997, 0.16066666666666674)","(-12.384476288677641, -12.942492376806506, -13.423030413136445, -10.938692466566968)",-2.701162693954937,-2.4049645187759974,0.35549427359088515,-0.2625041624002642
